identifier,title,creator,year,language,publisher,subjects,sets,types,rights
oai:www.e-rara.ch:1370372,Ueber die Veränderungen des galvanischen Leitungswiderstandes der Metalldrähte,"Mousson, Albert",1855,ger,Druck von Zürcher & Furrer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19', 'collections', 'profethz']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1370471,Beitrag zur Theorie der Nobili'schen Farbenringe,"Wild, H.",1857,ger,Druck von Zürcher & Furrer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1371776,Recherches sur les propriétés des courants magnéto-électriques,"La Rive, Auguste Arthur de",1837,fre,[s. n.],,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1372958,Neueste Schnellrechnungslehre und Erleichterung der vier Grundrechnungsarten ...,[s.n.],1870,ger,Schiller,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1395833,Adressbuch der Stadt Bern,[s.n.],"['1860', '1957']",ger,Hallwag,,"['bes_1', 'journal', 'collections', 'bernensia', 'ch', 'ch19']","['Text', 'Periodical', 'Zeitschrift']",pdm
oai:www.e-rara.ch:1396731,Geographisch-geschichtliches und Handels-Orts-Lexikon des Kantons Bern : nach Amtsbezirken und Kirchgemeinden eingetheilt : statistische und historische Notizen der einzelnen Ortschaften,"Raemy, Alfred de",1890,ger,Herausgegeben im Selbstverlag von Alfred Raemy,"['Ortsnamen', 'Volkswirtschaft']","['bes_1', 'book', 'collections', 'bernensia', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1397203,"Adressenbuch der Republik Bern : für Wissenschaft, Kunst, Handel und Gewerbe, sammt Beschreibung der Merkwürdigkeiten, öffentlichen Anstalten und sonstigen nützlichen Einrichtungen","Sommerlatt, Christian Vollrath von",1836,ger,C. A. Jenni,,"['bes_1', 'book', 'collections', 'bernensia', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1422979,Architekt. Studien des Bauschülervereins u. Architektura,Architektura,1880,ger,s. n.,"['ARCHITEKTURZEICHNUNGEN + ARCHITEKTONISCHE VORARBEITEN', '""1880""']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1615347,"Beschreibung der vierten Jubelfeier der Stiftung der Universität Basel, 5., 6. und 7. September 1860 : nebst Reden und Toasten","Hess, Johann Wahrmund",1860,ger,Georg,,"['bau_1', 'book', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1615562,Pläne zum neuen Museum [in Basel],"Berri, Melchior",1844,ger,[s.n.],,"['bau_1', 'book', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1615599,"Festrede bei der vierten Säcularfeier der Universität Basel den VII. September 1860 : gehalten von Prof. Dr. Merian, d. Z. Rector","Merian, Peter",1860,ger,Schweighauser,,"['bau_1', 'book', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1624003,Bemerkungen über die Blitzableiter ihren Nutzen und Schaden,[s.n.],1816,ger,[s. n.],,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1757509,Adressbuch der Stadt Bern,"Messerli, Johann Ch",1822,ger,C. A. Jenni,,"['bes_1', 'book', 'collections', 'bernensia', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1757592,"Hand- und Adressbuch der Bundesstadt Bern : Verzeichniss der Behörden, Angabe der Häuserbesitzer und Wohnungen, der Handels- und Gewerbstreibenden, der Gesellschaften und Vereine, Tarife und Verordnungen der Verkehrsanstalten u. dgl. m",[s.n.],1859,ger,Jent & Gassmann,,"['bes_1', 'journal', 'collections', 'bernensia', 'ch', 'ch19']","['Text', 'Periodical', 'Zeitschrift']",pdm
oai:www.e-rara.ch:1757931,Berner Stadtchronik : Notizen aus der bernischen Geschichte auf alle Tage des Jahres zusammengestellt,"Sterchi, Jakob","['1895', '1896']",ger,"Druck und Verlag des ""Berner Tagblatt""",,"['bes_1', 'book', 'collections', 'bernensia', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1758267,"Sammlung der Grabschriften der gegenwärtigen Bernischen Gottesäcker Monbijou, Rosengarten und Klösterlein",[s.n.],"['1821', '1822']",ger,"['[Verlag nicht ermittelbar]', 'C.A. Jenni', 'gedruckt bei Ulr. Nicl. Schönauer']",,"['bes_1', 'book', 'collections', 'bernensia', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1923571,Die  Kirchenverfassung der piemontesischen Waldensergemeinden,"Weiss, J. Heinrich",1844,ger,Meyer und Zeller,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1923861,Das  Obmannamt in Zürich,"Vogel, Friedrich",1845,ger,Schulthess,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1924527,"Bibliographische Notizen über die zürcherischen Naturforscher, Geographen, Aerzte und Mathematiker nebst Aufzählung der im Kanton Zürich vorhandenen naturwissenschaftlichen Sammlungen : zur hundertjährigen Stiftungsfeier der naturforschenden Gesellschaft in Zürich für die Mitglieder auf Kosten der Gesellschaft gedruckt","Siegfried, Johann Jacob",1846,ger,Druck von Zürcher und Furrer,,"['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
oai:www.e-rara.ch:1925672,Bauten der Schweizerischen Landesausstellung Zürich 1883,"Pfister, Albert",1883,ger,Hofer & Burger,"['Ausstellungsbau', 'Landesausstellung', 'ABBILDUNGEN UND BILDWERKE (DOKUMENTENTYP)', 'AUSSTELLUNGSGEBÄUDE (ARCHITEKTUR)', 'NATIONALE AUSSTELLUNGEN']","['zut', 'book', 'collections', 'wihibe', 'ch', 'ch19']","['Text', 'Book']",pdm
